City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,61.18,89,14,13.76,ZA,1681411412
1,jamestown,42.097,-79.2353,81.52,29,0,12.66,US,1681411386
2,kapaa,22.0752,-159.319,77.09,83,75,13.8,US,1681411413
3,marystown,47.1666,-55.1483,45.86,100,69,7.0,CA,1681411413
4,vaini,-21.2,-175.2,77.16,88,40,6.91,TO,1681411413
5,qaanaaq,77.484,-69.3632,10.27,84,5,1.77,GL,1681411413
6,anloga,5.7947,0.8973,83.19,81,32,13.47,GH,1681411413
7,leningradskiy,69.3833,178.4167,-10.53,96,81,4.94,RU,1681411413
8,palmer,42.1584,-72.3287,88.97,25,0,6.91,US,1681411151
9,faya,18.3851,42.4509,62.71,64,0,4.05,SA,1681411413
10,tautira,-17.7333,-149.15,79.83,70,31,12.71,PF,1681411413
11,tasiilaq,65.6145,-37.6368,37.56,91,94,2.06,GL,1681411414
12,lae,-6.7221,146.9847,75.65,86,100,7.11,PG,1681411414
13,tiksi,71.6872,128.8694,3.63,87,100,4.29,RU,1681411414
14,atasu,48.6814,71.6433,52.59,41,100,8.88,KZ,1681411414
15,kaitangata,-46.2817,169.8464,58.93,73,98,12.57,NZ,1681411415
16,varhaug,58.6147,5.6457,44.89,82,100,20.87,NO,1681411415
17,mataura,-46.1927,168.8643,52.48,88,12,7.96,NZ,1681411415
18,ushuaia,-54.8,-68.3,47.82,61,0,3.44,AR,1681411291
19,kodiak,57.79,-152.4072,38.71,65,100,6.91,US,1681411368
20,quang ngai,15.1167,108.8,75.6,96,41,3.91,VN,1681411215
21,mayo,38.8876,-76.5119,89.67,28,0,10.36,US,1681411415
22,aleksandrov gay,50.147,48.5704,57.69,69,100,27.25,RU,1681411416
23,folkestone,51.0833,1.1833,49.73,80,13,1.01,GB,1681411416
24,bluff,-46.6,168.3333,52.81,79,22,17.67,NZ,1681411386
25,bathsheba,13.2167,-59.5167,86.61,58,40,18.41,BB,1681411416
26,grand gaube,-20.0064,57.6608,77.38,84,0,2.48,MU,1681411416
27,cidreira,-30.1811,-50.2056,67.23,84,100,11.9,BR,1681411416
28,tabou,4.423,-7.3528,81.84,81,16,8.5,CI,1681411416
29,carnarvon,-24.8667,113.6333,70.59,63,70,28.14,AU,1681411382
30,whitehorse,60.7161,-135.0538,37.09,68,75,16.11,CA,1681411395
31,hilo,19.7297,-155.09,72.28,96,100,6.91,US,1681411204
32,raudeberg,61.9875,5.1352,50.67,79,7,10.6,NO,1681411417
33,rikitea,-23.1203,-134.9692,71.49,92,100,6.58,PF,1681411417
34,hithadhoo,-0.6,73.0833,83.39,70,25,6.53,MV,1681411417
35,victoria,22.2855,114.1577,75.25,90,89,8.28,HK,1681411275
36,zyryanka,65.75,150.85,-7.98,100,73,6.04,RU,1681411417
37,bengkulu,-3.8004,102.2655,76.12,90,70,4.18,ID,1681411417
38,geraldton,-28.7667,114.6,63.01,72,40,23.02,AU,1681411417
39,port elizabeth,-33.918,25.5701,64.31,76,0,18.41,ZA,1681411417
40,zhuhai,22.2769,113.5678,74.98,88,40,4.61,CN,1681411418
41,tuktoyaktuk,69.4541,-133.0374,-9.4,77,75,6.91,CA,1681411418
42,coron,11.9986,120.2043,75.81,86,100,1.1,PH,1681411418
43,punta de bombon,-17.1717,-71.7931,73.58,72,11,8.55,PE,1681411418
44,busselton,-33.65,115.3333,52.02,82,40,17.54,AU,1681411418
45,cherskiy,68.75,161.3,-17.05,100,62,3.53,RU,1681411418
46,souillac,-20.5167,57.5167,75.58,94,40,3.44,MU,1681411418
47,katihar,25.5333,87.5833,82.76,17,96,2.59,IN,1681411220
48,hermanus,-34.4187,19.2345,62.8,80,0,12.39,ZA,1681411418
49,pundaguitan,6.3711,126.1689,81.82,77,0,4.38,PH,1681411419
50,castro,-24.7911,-50.0119,77.94,49,17,1.39,BR,1681411419
51,airai,-8.9266,125.4092,60.39,94,48,1.92,TL,1681411403
52,cape town,-33.9258,18.4232,66.38,66,40,6.91,ZA,1681411419
53,viedma,-40.8135,-62.9967,56.75,37,2,12.28,AR,1681411419
54,talnakh,69.4865,88.3972,-11.88,98,100,7.65,RU,1681411420
55,albany,42.6001,-73.9662,86.29,28,0,3.0,US,1681411420
56,corbelia,-24.7989,-53.3067,81.75,74,98,5.91,BR,1681411420
57,west bay,19.3667,-81.4167,86.07,62,20,8.05,KY,1681411421
58,alto araguaia,-17.3147,-53.2153,82.27,62,83,1.63,BR,1681411421
59,san patricio,28.017,-97.5169,81.16,43,5,10.78,US,1681411422
60,sitka,57.0531,-135.33,40.89,81,100,8.05,US,1681411422
61,hobart,-42.8794,147.3294,53.26,94,100,4.61,AU,1681411422
62,dunedin,-45.8742,170.5036,53.8,81,100,5.01,NZ,1681411422
63,bambous virieux,-20.3428,57.7575,77.22,94,40,3.44,MU,1681411422
64,pevek,69.7008,170.3133,0.73,96,97,1.5,RU,1681411422
65,labuhan,-6.8844,112.2051,77.22,86,76,11.32,ID,1681411422
66,ilebo,-4.3167,20.5833,75.67,81,25,1.66,CD,1681411423
67,fairbanks,64.8378,-147.7164,15.49,80,75,1.01,US,1681411196
68,yermekeyevo,54.0761,53.6712,47.97,67,100,19.06,RU,1681411423
69,kasempa,-13.4584,25.8338,63.37,92,92,3.62,ZM,1681411423
70,provideniya,64.3833,-173.3,-0.17,88,8,4.47,RU,1681411423
71,sao joao da barra,-21.6403,-41.0511,86.09,82,23,13.62,BR,1681411379
72,camopi,3.1655,-52.3158,82.9,83,100,3.98,GF,1681411423
73,saint george,37.1041,-113.5841,71.94,29,0,9.22,US,1681411397
74,puerto ayora,-0.7393,-90.3518,89.56,86,100,7.0,EC,1681411423
75,port-gentil,-0.7193,8.7815,82.36,89,40,5.75,GA,1681411424
76,saskylakh,71.9167,114.0833,-16.04,100,51,5.3,RU,1681411424
77,akhtubinsk,48.2795,46.1722,55.24,78,100,15.39,RU,1681411424
78,houma,29.5958,-90.7195,71.6,71,92,9.04,US,1681411319
79,nikolskoye,59.7035,30.7861,40.91,71,100,10.74,RU,1681411424
80,bredasdorp,-34.5322,20.0403,61.65,69,0,13.71,ZA,1681411424
81,nome,64.5011,-165.4064,-12.93,84,0,0.0,US,1681411424
82,dingle,10.9995,122.6711,75.38,89,100,2.13,PH,1681411424
83,chumikan,54.7183,135.315,14.02,94,100,5.7,RU,1681411424
84,kieta,-6.2167,155.6333,77.97,86,100,4.5,PG,1681411425
85,humaita,-7.5061,-63.0208,84.61,82,99,1.1,BR,1681411425
86,yellowknife,62.456,-114.3525,23.56,86,100,4.61,CA,1681411416
87,buala,-8.145,159.5921,78.67,84,84,5.35,SB,1681411425
88,kommunisticheskiy,61.6789,64.4819,-7.76,100,54,3.83,RU,1681411425
89,dikson,73.5069,80.5464,-7.06,100,100,13.13,RU,1681411375
90,lavrentiya,65.5833,-171.0,-3.89,87,14,7.02,RU,1681411406
91,taicheng,38.731,113.228,49.01,29,33,7.94,CN,1681411425
92,khatanga,71.9667,102.5,6.64,83,100,16.55,RU,1681411399
93,rabo de peixe,37.8,-25.5833,63.91,77,20,9.22,PT,1681411331
94,lebu,-37.6167,-73.65,60.03,82,55,6.98,CL,1681411425
95,ostrovnoy,68.0531,39.5131,15.44,82,13,14.41,RU,1681411426
96,kulhudhuffushi,6.6221,73.07,83.57,72,100,2.89,MV,1681411426
97,butaritari,3.0707,172.7902,80.92,81,75,12.21,KI,1681411426
98,atuona,-9.8,-139.0333,79.97,71,95,5.23,PF,1681411426
99,chernyshevskiy,63.0128,112.4714,4.95,94,44,5.01,RU,1681411426
100,haines junction,60.7522,-137.5108,31.95,64,100,0.0,CA,1681411426
101,valmiera,57.5411,25.4275,55.42,79,100,10.31,LV,1681411426
102,matara,5.9485,80.5353,79.21,86,18,4.76,LK,1681411426
103,sur,22.5667,59.5289,85.89,49,0,5.21,OM,1681411427
104,avarua,-21.2078,-159.775,78.85,65,100,8.05,CK,1681411427
105,crepy-en-valois,49.2336,2.8881,50.58,77,17,4.45,FR,1681411427
106,arzgir,45.3728,44.2206,52.56,69,100,26.53,RU,1681411427
107,cockburn town,21.4612,-71.1419,78.6,76,91,12.53,TC,1681411427
108,lompoc,34.6391,-120.4579,65.61,65,20,15.99,US,1681411427
109,arlit,18.7369,7.3853,87.93,10,5,5.79,NE,1681411427
110,suksun,57.1431,57.3949,25.88,67,86,15.14,RU,1681411427
111,terme,41.2092,36.9739,49.93,90,96,3.94,TR,1681411427
112,narsaq,60.9167,-46.05,52.02,78,100,0.63,GL,1681411427
113,shingu,33.7333,135.9833,52.21,68,100,4.79,JP,1681411428
114,ribeira grande,38.5167,-28.7,63.77,94,75,15.01,PT,1681411428
115,buckingham,51.9997,-0.9878,49.89,84,12,6.8,GB,1681411428
116,chokurdakh,70.6333,147.9167,-3.15,97,100,5.06,RU,1681411428
117,okhotsk,59.3833,143.3,15.98,90,100,8.16,RU,1681411428
118,punta arenas,-53.15,-70.9167,46.42,70,0,8.05,CL,1681411428
119,celestun,20.8667,-90.4,81.84,54,4,9.71,MX,1681411429
120,yamada,39.4667,141.95,44.85,60,7,6.76,JP,1681411429
121,xingyi,24.1877,102.817,61.65,28,0,5.59,CN,1681411429
122,suruc,36.9761,38.425,49.32,83,18,6.96,TR,1681411429
123,bonavista,48.6499,-53.1147,31.64,97,100,18.41,CA,1681411429
124,mar del plata,-38.0023,-57.5575,64.09,52,40,21.85,AR,1681411429
125,avera,33.194,-82.5271,68.05,66,100,14.23,US,1681411387
126,jalu,29.0331,21.5482,73.09,14,0,5.44,LY,1681411429
127,santa rosa,14.3122,121.1114,75.18,96,100,2.8,PH,1681411430
128,saint-philippe,-21.3585,55.7679,76.59,81,38,2.86,RE,1681411430
129,doha,25.2867,51.5333,80.91,69,0,8.05,QA,1681411254
130,balkanabat,39.5108,54.3671,61.43,74,100,9.46,TM,1681411430
131,linares,-35.85,-71.6,73.54,36,12,6.55,CL,1681411407
132,cabo san lucas,22.8909,-109.9124,87.1,26,20,11.5,MX,1681411410
133,shimoda,34.6667,138.95,55.11,82,100,9.8,JP,1681411359
134,camana,-16.6228,-72.7111,75.47,72,9,9.6,PE,1681411430
135,taltal,-25.4,-70.4833,69.44,70,27,7.61,CL,1681411430
136,codrington,-38.2667,141.9667,53.33,95,2,8.59,AU,1681411392
137,montenegro,42.5,19.3,58.46,55,20,4.61,ME,1681411431
138,kibara,-2.15,33.45,67.3,94,100,14.29,TZ,1681411431
139,thompson,55.7435,-97.8558,37.56,70,75,2.3,CA,1681411431
140,vardo,70.3705,31.1107,28.38,69,0,26.46,NO,1681411431
141,ostersund,63.1792,14.6357,41.45,60,0,18.41,SE,1681411431
142,pontianak,-0.0333,109.3333,75.18,100,75,1.14,ID,1681411431
143,sobolevo,54.4299,31.8996,50.16,66,100,6.46,RU,1681411431
144,bourail,-21.5667,165.4833,73.29,96,100,5.73,NC,1681411431
145,east london,-33.0153,27.9116,63.54,72,0,8.05,ZA,1681411432
146,san buenaventura,27.0833,-101.5333,84.47,41,40,0.0,MX,1681411432
147,valley,45.1277,-116.1262,28.76,57,100,5.53,US,1681411432
148,batemans bay,-35.7167,150.1833,61.11,89,77,10.38,AU,1681411432
149,seymchan,62.8833,152.4333,-10.3,99,49,1.83,RU,1681411432
150,nishihara,26.1842,127.7558,73.45,88,100,10.36,JP,1681411432
151,svetlogorsk,52.6333,29.7333,45.9,90,100,9.4,BY,1681411432
152,petropavlovsk-kamchatskiy,53.0452,158.6483,28.99,100,100,6.71,RU,1681411433
153,yacuiba,-22.038,-63.6797,65.17,88,100,13.8,BO,1681411433
154,santa vitoria do palmar,-33.5189,-53.3681,65.41,48,10,11.88,BR,1681411433
155,pemba,-12.974,40.5178,81.3,89,75,4.61,MZ,1681411433
156,warmbad,-28.45,18.7333,66.65,35,29,14.07,NA,1681411433
157,tongren,27.7172,109.1853,68.88,95,5,1.72,CN,1681411433
158,georgetown,5.4112,100.3354,85.95,79,20,8.05,MY,1681411239
159,beloha,-25.1667,45.05,69.94,87,15,7.83,MG,1681411434
160,los llanos de aridane,28.6585,-17.9182,68.13,79,75,16.11,ES,1681411434
161,ortona,42.3496,14.4039,54.39,86,100,15.39,IT,1681411434
162,nhulunbuy,-12.2333,136.7667,75.81,100,40,0.0,AU,1681411434
163,yenagoa,4.9247,6.2642,80.8,86,95,5.1,NG,1681411434
164,port macquarie,-31.4333,152.9167,59.9,84,81,12.17,AU,1681411428
165,bilma,18.6853,12.9164,81.93,8,65,5.99,NE,1681411434
166,mehamn,71.0357,27.8492,35.51,80,0,16.11,NO,1681411434
167,wanning,18.8003,110.3967,75.94,92,79,7.11,CN,1681411223
168,kavieng,-2.5744,150.7967,82.58,78,50,12.33,PG,1681411419
169,juba,4.8517,31.5825,80.33,53,84,1.72,SS,1681411435
170,kamloops,50.6665,-120.3192,50.99,54,75,4.61,CA,1681411421
171,amapa,1.0,-52.0,84.49,71,100,4.36,BR,1681411435
172,ilulissat,69.2167,-51.1,26.62,93,75,6.91,GL,1681411435
173,fortuna,40.5982,-124.1573,54.93,62,17,1.99,US,1681411423
174,padang,-0.9492,100.3543,77.05,89,100,2.55,ID,1681411435
175,liaocheng,36.4439,115.9647,60.67,87,7,7.83,CN,1681411435
176,guerrero negro,27.9769,-114.0611,63.39,56,14,16.96,MX,1681411435
177,sinop,41.7711,34.8709,43.63,87,34,6.6,TR,1681411280
178,camacha,33.0833,-16.3333,62.02,77,40,12.66,PT,1681411435
179,lorengau,-2.0226,147.2712,81.46,81,97,12.8,PG,1681411428
180,sao filipe,14.8961,-24.4956,73.94,78,93,6.49,CV,1681411436
181,norman wells,65.282,-126.8329,10.44,72,100,8.05,CA,1681411337
182,suez,29.9737,32.5263,65.1,57,0,11.5,EG,1681411436
183,mecca,21.4267,39.8261,77.18,33,0,10.33,SA,1681411370
184,pinega,64.7001,43.3936,2.75,97,5,2.39,RU,1681411436
185,torbay,47.6666,-52.7314,36.39,96,100,12.66,CA,1681411436
186,san policarpo,12.1791,125.5072,78.12,90,28,5.08,PH,1681411436
187,luwuk,-0.9516,122.7875,78.21,88,100,2.95,ID,1681411436
188,springbok,-29.6643,17.8865,54.97,63,100,4.54,ZA,1681411436
189,aklavik,68.2191,-135.0107,-0.4,65,75,5.75,CA,1681411436
190,klaksvik,62.2266,-6.589,47.32,83,100,13.91,FO,1681411437
191,hambantota,6.1241,81.1185,80.94,100,20,1.14,LK,1681411435
192,montepuez,-13.1256,38.9997,68.77,98,100,3.29,MZ,1681411437
193,rio grande,-32.035,-52.0986,71.71,56,100,11.3,BR,1681411437
194,la ronge,55.1001,-105.2842,44.85,42,40,6.91,CA,1681411437
195,isilkul,54.9109,71.2728,41.9,76,45,10.02,RU,1681411437
196,rangapara,26.8167,92.65,74.84,41,6,3.71,IN,1681411437
197,minuri,16.535,121.8574,73.9,93,100,2.64,PH,1681411437
